cnpj_raiz;razao_social_ibama;uf;ultimo_rapp;escopo;detalhe_declarado
59693267;"ORION COSMÉTICOS LTDA - EPP";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
04869306;"OUAIS INDUSTRIA E COMERCIO DE COSMETICOS LTDA";BAHIA;2025;fora;"Fabricação de perfumarias e cosméticos"
23620199;"P&D CHEMICALS INDUSTRIA DE COSMETICOS LTDA";DISTRITO FEDERAL;2024;fora;"Fabricação de perfumarias e cosméticos"
75619742;"PALMINDAYA COSMETICOS LTDA";PARANA;2025;fora;"Fabricação de perfumarias e cosméticos"
05772986;"PARUZIAS IND E COMERCIO DE COSMETICOS LTDA EPP";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
87727277;"PASTEUR COSMIATRIA LTDA";RIO GRANDE DO SUL;2024;fora;"Fabricação de perfumarias e cosméticos"
22020871;"PDHB INDÚSTRIA COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
53148896;"PECUARISTA D´OESTE DE ARACATUBA LTDA";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
06158237;"PERFULE COSMETICOS LIMITADA";SAO PAULO;2022;fora;"Fabricação de perfumarias e cosméticos"
62628359;"PERFUMARIA ELANS IND E COM IMP E EXP LTDA";SAO PAULO;2023;fora;"Fabricação de perfumarias e cosméticos | Fabricação de produtos farmacêuticos e veterinários"
40166597;"PERFUMARIA MARCIA LTDA";RIO DE JANEIRO;2024;fora;"Fabricação de perfumarias e cosméticos"
01617017;"PERFUMARIA SARANDI LTDA ME";MINAS GERAIS;2022;fora;"Fabricação de perfumarias e cosméticos"
45259421;"PERFUMES MAUA INDUSTRIA E COMERCIO LTDA.";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
39826144;"PESSINI INDÚSTRIA E COMÉRCIO DE COSMÉTICOS LTDA";ESPIRITO SANTO;2024;fora;"Fabricação de perfumarias e cosméticos"
61072393;"PFIZER BRASIL LTDA.";SAO PAULO;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
11744480;"PH BOTICA IND. E COM. ATAC. E VAREJ. DE COSM. E COMP. ALIM.";MATO GROSSO DO SUL;2022;fora;"Fabricação de perfumarias e cosméticos"
02501297;"PHARLAB INDÚSTRIA FARMACÊTICA S.A";MINAS GERAIS;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
27711659;"PHARMAESTHETICS DO BRASIL LTDA";PARANA;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
42830547;"PHARMAKON FARMACIA DE MANIPULACAO LTDA";MINAS GERAIS;2022;fora;"Fabricação de produtos farmacêuticos e veterinários"
25773037;"PHARMASCIENCE INDÚSTRIA FARMACÊUTICA S/A";MINAS GERAIS;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
00248776;"PHARMATURA INDÚSTRIA DE COMSÉTICOS LTDA - ME";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
05817595;"PHD INDÚSTRIA E COMÉRCIO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
46278537;"PHISALIA PRODUTOS DE BELEZA LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
07282838;"PHLORINEA INDÚSTRIA DE PRODUTOS DE HIGIENE PESSOAL LTDA.";PARANA;2024;fora;"Fabricação de perfumarias e cosméticos"
17910389;"PHS DO BRASIL LTDA";SANTA CATARINA;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
13852113;"PHYTO GREEN BRASIL INDUSTRIA E COMERCIO DE COSMÉTICOS LTDA ME";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
10704205;"PHYTOPLENUS BIOATIVOS S.A.";PARANA;2024;fora;"Fabricação de produtos farmacêuticos e veterinários"
11831799;"PINHO IN. E COM. DE COSMÉTICOS LTDA";CEARA;2023;fora;"Fabricação de perfumarias e cosméticos"
44644490;"PINUS INDUSTRIA E COMERCIO LTDA - EPP";SAO PAULO;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
07085625;"PL FARMACIA DE MANIPULAÇÃO LTDA - EPP";MINAS GERAIS;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
39413219;"PLANTERS DO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS FARMOQUIMICOS LTDA";SANTA CATARINA;2025;fora;"Fabricação de perfumarias e cosméticos"
34824083;"PLK INDUSTRIA E COMERCIO DE COSMETICOS";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
46553125;"POCKET INDUSTRIA E COMERCIO DE COSMETICOS LTDA";GOIAS;2025;fora;"Fabricação de perfumarias e cosméticos"
12340717;"POINT SUTURE DO BRASIL IND DE FIOS CIRURGICOS LTDA";CEARA;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
03812429;"POLYSUTURE INDÚSTRIA E COMÉRCIO LTDA";MINAS GERAIS;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
35481195;"PONTES & MORAIS LTDA";SAO PAULO;2024;fora;"Fabricação de perfumarias e cosméticos"
02270713;"PONTO 9 COSMETICOS INDUSTRIA E COMERCIO LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
08921798;"PORTAL INDÚSTRIA DE PERFUMES E COSMÉTICOS LTDA";PERNAMBUCO;2024;fora;"Fabricação de perfumarias e cosméticos"
04555246;"PORTO SEGURO COSMETICOS LTDA";PARANA;2025;fora;"Fabricação de perfumarias e cosméticos"
10507125;"POTENZA COSMETICOS IND COM LTDA";MINAS GERAIS;2025;fora;"Fabricação de perfumarias e cosméticos"
47048268;"POTY COSMÉTICOS LTDA";SAO PAULO;2025;fora;"Fabricação de perfumarias e cosméticos"
73856593;"PRATI DONADUZZI E CIA LTDA";PARANA;2025;fora;"Fabricação de produtos farmacêuticos e veterinários"
37077979;"PRIME COSMÉTICOS LTDA";MINAS GERAIS;2024;fora;"Fabricação de perfumarias e cosméticos"
